;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;%;%;%;
;Current prices;Current prices;Current prices;Previous year prices;Previous year prices;Previous year prices;At average 2015 prices;At average 2015 prices;At average 2015 prices;Volume index (previous year=100);Volume index (previous year=100);Volume index (previous year=100);
;Gross Value Added;Adjustments (taxes less subsidies on products);Gross Domestic Product;Gross Value Added;Adjustments (taxes less subsidies on products);Gross Domestic Product;Gross Value Added;Adjustments (taxes less subsidies on products);Gross Domestic Product;Gross Value Added;Adjustments (taxes less subsidies on products);Gross Domestic Product;
1995;1179;97;1276;947;80;1027;53621;5795;59649;.;.;.;
1996;2006;181;2187;1249;93;1342;56810;5575;62754;106;96;105;
1997;17385;1648;19032;1703;175;1878;48217;5413;53896;85;97;86;
1998;23585;2875;26460;17709;2044;19754;49117;6717;55938;102;124;104;
1999;22213;2830;25043;21481;2758;24238;44734;6443;51241;91;96;92;
2000;24655;3469;28125;23090;3101;26192;46501;7062;53592;104;110;105;
2001;27292;3695;30987;25660;3541;29200;48394;7207;55641;104;102;104;
2002;30313;3756;34069;29366;3441;32806;52072;6711;58908;108;93;106;
2003;31973;4665;36638;31572;4280;35853;54236;7648;61994;104;114;105;
2004;35285;5916;41201;33532;5491;39023;56881;9002;66030;105;118;107;
2005;39986;7031;47017;37563;6546;44109;60553;9960;70689;107;111;107;
2006;45249;8359;53608;42843;7373;50216;64879;10444;75498;107;105;107;
2007;53866;9589;63455;48212;8930;57142;69127;11157;80474;107;107;107;
2008;61247;11543;72790;57179;10157;67336;73379;11817;85396;106;106;106;
2009;63592;9589;73181;60721;9687;70409;72749;9917;82602;99;84;97;
2010;65357;9520;74878;64746;9564;74310;74069;9891;83875;102;100;102;
2011;70807;10318;81124;66608;9843;76451;75486;10226;85638;102;103;102;
2012;71899;10747;82646;70991;10746;81737;75683;10651;86284;100;104;101;
2013;70902;11340;82242;70699;11483;82183;74420;11380;85800;98;107;99;
2014;72985;11165;84150;71598;11439;83037;75151;11480;86630;101;101;101;
2015;77389;12211;89600;75158;11877;87035;77389;12211;89600;103;106;103;
2016;82144;13246;95390;79395;12928;92323;79395;12928;92323;103;106;103;
2017;88356;14385;102741;84855;13171;98025;82015;12855;94874;103;99;103;
2018;95278;14686;109964;91430;14069;105499;84868;12573;97421;104;98;103;
2019;103953;16443;120396;98827;15578;114405;88029;13336;101355;104;106;104;
2020;104579;15974;120553;99802;15828;115630;84514;12837;97342;96;96;96;
2021;121607;17405;139012;112939;16818;129757;91270;13515;104774;108;105;108;
2022;145614;19770;165384;125792;17893;143685;94411;13894;108296;103;103;103;
