date, Billions of US $, US $, Annual % Change
1980-12-31,19.839230769231,2238.803
1981-12-31,19.87,2234.8148,4.9002
1982-12-31,19.342,2169.004,2.3346
1983-12-31,16.563666666667,1852.8134,3.4303
1984-12-31,17.594944444444,1963.5727,3.3964
1985-12-31,17.155421052632,1914.5506,2.6834
1986-12-31,20.249294117647,2260.4273,4.2076
1987-12-31,28.101,3132.3014,6.0545
1988-12-31,22.555941176471,2511.3931,10.9447
1989-12-31,21.988444444444,2477.0208,-3.2899
1990-12-31,20.632090909091,2366.5298,-9.1174
1991-12-31,10.943548387097,1267.7344,-8.4454
1992-12-31,10.350515463917,1211.9809,-7.2724
1993-12-31,10.832228507232,1278.5444,-1.4802
1994-12-31,9.6974169741697,1148.4944,1.818
1995-12-31,18.991531542708,2259.2648,2.8551
1996-12-31,12.294987876312,1470.1953,5.2054
1997-12-31,11.316126257584,1361.4092,-14.1154
1998-12-31,15.031052200546,1820.4483,3.7891
1999-12-31,13.627325461174,1659.7186,-8.3961
2000-12-31,13.245990274458,1621.2621,4.5872
2001-12-31,14.18344386169,1770.9068,3.8237
2002-12-31,16.40304384983,2092.9829,5.8719
2003-12-31,21.144962058289,2719.4949,5.2372
2004-12-31,26.157744752783,3389.6876,6.5104
2005-12-31,29.868651533119,3899.8251,7.0563
2006-12-31,34.380543845397,4523.1475,6.8026
2007-12-31,44.432811756473,5888.7769,6.5914
2008-12-31,54.480697770077,7271.3052,6.116
2009-12-31,52.023813557816,6988.2748,-3.2719
2010-12-31,50.754203890734,6862.7577,1.5418
2011-12-31,57.735709913885,7856.986,2.1012
2012-12-31,54.290156342377,7431.014,0.7549
2013-12-31,55.844245263801,7686.6292,-0.5605
2014-12-31,57.159557804646,7912.5205,0.9669
2015-12-31,50.828088835943,7081.1023,3.4281
2016-12-31,53.987487124342,7574.1913,3.0398
2017-12-31,59.343060705828,8386.5892,2.7622
2018-12-31,66.399602077169,9451.8509,2.6848
2019-12-31,68.911930627898,9878.7689,4.0381
2020-12-31,70.404359049232,10153.4766,-3.9586
2021-12-31,84.061395658221,12222.2356,7.6346
2022-12-31,89.040398406374,13772.4768,3.3613
