date, Inflation Rate (%), Annual Change
1986-12-31,2.7
1987-12-31,2.7264,0.03
1988-12-31,2.3697,-0.36
1989-12-31,6.3889,4.02
1990-12-31,23.8,17.41
1991-12-31,338.4491,314.65
1992-12-31,91.2979,-247.15
1993-12-31,72.8788,-18.42
1994-12-31,96.0573,23.18
1995-12-31,62.0548,-34
1996-12-31,121.6075,59.55
1997-12-31,1058.3736,936.77
1998-12-31,18.6722,-1039.7
1999-12-31,2.573,-16.1
2000-12-31,10.3163,7.74
2001-12-31,7.3609,-2.96
2002-12-31,5.8101,-1.55
2003-12-31,2.3486,-3.46
2004-12-31,6.1471,3.8
2005-12-31,5.0388,-1.11
2006-12-31,7.2616,2.22
2007-12-31,8.4025,1.14
2008-12-31,12.3487,3.95
2009-12-31,2.7532,-9.6
2010-12-31,2.439,-0.31
2011-12-31,4.2199,1.78
2012-12-31,2.9546,-1.27
2013-12-31,0.8901,-2.06
2014-12-31,-1.4182,-2.31
2015-12-31,-0.1046,1.31
2016-12-31,-0.7986,-0.69
2017-12-31,2.0616,2.86
2018-12-31,2.8145,0.75
2019-12-31,3.1037,0.29
2020-12-31,1.6724,-1.43
2021-12-31,3.2977,1.63
2022-12-31,15.3253,12.03
