2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Total;115087;112368;112617;111927;110110;113374;113438;113004;110523;108068;110165;108258;109281;104345;108952;110117;107580;109791;108526;108083;124735;148995;118814
0;981;982;887;831;814;739;720;690;668;729;708;601;536;489;517;434;423;408;358;342;301;326;274
1 - 4;180;180;174;158;192;149;137;139;132;129;133;122;119;115;89;82;68;91;93;76;64;72;71
5 - 9;138;105;99;79;77;93;111;79;105;84;77;65;69;66;55;70;56;46;61;50;36;61;40
10 - 14;134;135;120;144;134;124;104;97;101;87;93;66;76;66;63;60;56;56;70;66;66;63;64
15 - 19;343;306;244;260;240;226;259;268;272;224;200;180;172;139;150;150;141;140;145;156;124;145;126
20 - 24;495;490;428;443;426;396;413;417;416;369;338;319;284;304;263;241;217;191;176;189;194;243;174
25 - 29;509;532;492;566;506;503;488;507;503;442;421;387;337;335;324;357;335;320;304;282;242;346;236
30 - 34;749;701;680;642;699;630;646;653;664;639;582;568;497;510;522;509;474;447;488;439;468;594;409
35 - 39;1083;1018;996;927;953;967;969;887;940;904;867;863;835;781;898;775;804;729;757;788;821;963;780
40 - 44;1867;1768;1735;1617;1657;1617;1583;1428;1370;1381;1460;1355;1296;1338;1365;1318;1323;1395;1331;1301;1519;1710;1328
45 - 49;3109;3013;2905;2755;2822;2873;2746;2594;2549;2478;2403;2236;2025;2072;2111;2188;2251;2223;2203;2255;2554;3029;2270
50 - 54;4871;4824;4851;4735;4661;4580;4557;4412;4204;4112;3850;3783;3732;3501;3798;3499;3420;3395;3285;3174;3819;4709;3646
55 - 59;5970;6039;6111;6314;6472;6936;6972;6765;6471;6251;5994;5917;5749;5601;5711;5574;5607;5430;5474;5155;6153;7013;5192
60 - 64;8390;8231;7820;7783;7791;8025;8156;8284;8295;8561;8639;8731;8625;8078;8515;8258;8261;8074;8001;7922;9226;10945;8239
65 - 69;13368;12579;12219;11999;10980;10842;10395;10048;9622;9708;9706;9788;10255;10409;11090;11356;11295;11496;11132;11125;12852;15576;11800
70 - 74;18386;17342;16849;16560;16242;16755;16251;15725;14602;13445;12759;12461;12376;11563;11995;12517;12460;13195;13510;13822;17515;21825;16377
75 - 79;22392;22016;22178;21679;20555;21018;20579;19944;19276;18656;19048;18388;18192;16670;16347;15599;15148;15154;15069;14998;18001;22935;18090
80 - 84;13858;14790;17394;19427;20642;21344;21995;21999;21506;20473;20840;20333;20393;19365;20514;21027;19635;20017;18976;18150;20011;23514;18995
85+;18264;17317;16435;15008;14247;15557;16357;18068;18827;19396;22047;22095;23713;22943;24625;26103;25606;26984;27093;27793;30769;34926;30703
