Total;Male;Female
2000;115087;61520;53567
2001;112368;60145;52223
2002;112617;59942;52675
2003;111927;59992;51935
2004;110110;59256;50854
2005;113374;60761;52613
2006;113438;60503;52935
2007;113004;59823;53181
2008;110523;58303;52220
2009;108068;56849;51219
2010;110165;57641;52524
2011;108258;56634;51624
2012;109281;56702;52579
2013;104345;54827;49518
2014;108952;56630;52322
2015;110117;57040;53077
2016;107580;56122;51458
2017;109791;56781;53010
2018;108526;56367;52159
2019;108083;56118;51965
2020;124735;65950;58785
2021;148995;77299;71696
2022;118814;61656;57158
